S.no,Name of the Enterprise,Address,Primary Contact 1,Primary Contact 2,Primary Contact Mail Id,Primary Contact Number
25,Bright Packaging Pvt. Ltd.,"162 B, Industrial Area, Baikampady, 
Mangalore - 575011  ",Ankit  Bansal,P Ranachandran,mdo@brightpackaging.in,9845681270
26,Shrathi Printers & Publishers Pvt. Ltd.,"Plot No 123(D), Industrial Area, Baikampady, 
Mangalore - 575011 ",P Ramachandra Bhandary,P. Mohandas Bhandary,shrathiprinters@gmail.com,9845467777
27,Malabar Oxygen Company Pvt. Ltd.,"189-B, Industrial Area, Baikampady, 
Mangalore - 575011 ",Gautam Pai Kakode,P N Aithal,mocplgoa@gmail.com,9822177335
28,Raj Clay Products,"62, Thokur, 
Via: Jokatte - 575011",Mamatha Y Shetty,Surendra Kulal,rajclayproducts@gmail.com,9980555702
29,Bharat Petroleum Corpotarion Ltd. LPG Filling Plant,"Plot No-115-119 & 144-148,  Industrial Estate, Baikampady, Mangalore - 575011",Sandeep kumar Raina,Pradeep Kumar Rathod,pradeeprathod@dharatpetroleum.in,9492668269
30,Karnataka Saw Mills,"University Road, Nithyananda Nagar , 
PO Deralakatte, Mangalore-575018",A H Mahamood,Abbas H,saleskmnco@gmail.com,9448485388
31,Shree Dhanalaxmi Cashew Industries,"Gandhinagar, 
Moodbidri-574227",K Sripathi Bhat,K Sripathi Bhat,dhanalaxmi_cashew@yahoo.co.in,9880309411
32,Gwasf Quality Castings Pvt. Ltd.,"Plot No 136, 7A Cross Road, Industrial Area, Baikampady, Mangalore - 575011",Gautham Krishnan,Lawrence Lancy Lobo,lobo@gwasf.com,9845018737
33,Aruna Industries,"5th Road, 181(D) , Industrial Area, Baikampady, 
Mangalore - 575011   ",Ananthesh V Prabhu,Sukumar C Shriyan,info@arunamasalas.org,9886043277
34,"Kalbavi Consumer Foods Pvt. Ltd.,","Plot No.150, Industrial Area, Baikampady, 
Mangalore - 575011",Kalbavi Prakash Rao,P K Radhakrishna Rao,kalbavicashews@gmail.com,9900052715
35,Manipal Auto Springs,"131/A, Industrial Area, Baikampady, 
Mangalore - 575011 ",Vishwanath Nayak,Purushotham Rao,mautosprings@gmail.com,8088920721/ 9964071109
36,Ace Foods Private Limited,"C-30, Industrial Estate, Yeyyadi, 
Mangalore - 575008",Ajith Pai Mangalore,Ramanna acharya,info@acefoodspl.com,9930066307
37,General Engg. Services & Industries,"Plot No 15, Industrial Area, Baikampady, Mangalore - 575011",T R Shenoy,K Shridhar Prabhu,generaleng@lamina.co.in,8880549429
38,Pashupati Steels,"No.20/27 Bondanthila Village, Neermarga, Pedamale Post,  Mangalore - 575029",Rahul Jain,Basil Prasad,pashupathisteels@rediffmail.com,9980044190
39,Diganta Mudrana Limited,"D.No. 5-184/185, Industrial Estate, Yeyyadi,
Mangalore - 575008",P Vaman Shenoy,Vittal havanur,digantha.ltd@gmail.com,9972741579
40,Konkan Speciality Poly Products Pvt. Ltd Unit - 1,"B-129, Industrial Area, Baikampady, 
Mangalore - 575011   ",Vinod Chandrashekhar Bondal,M Raghavendra Prabhu,info@konspec.com,9980554604
41,Ashirvad Polysack Pvt. Ltd.,"Plot No 123C/1, Industrial Area, Baikampady, 
Mangalore - 575011 ",P Gopalkrishna Shenoy,P Gopalkrishna Shenoy,polysac@yahoo.in,9845152578
42,H H Ceramics Pvt. Ltd.,"Kuthar Padavu University Road, Munnur Village , Mangalore-575017",B M Yakoob,Hasan Sajjad,hhceramics@hotmail.com,9972089978
43,Sterling Containers,"140B, Industrial Area, Baikampady, 
Mangalore - 575011  ",Joe David,Avinash Kavadi,sterling_containers@yahoo.com,9845680705
44,Allana Consumer  Products Limited,"Kuthar Padavu, Someshwara Village, Munnur Post,Via Permannur, Mangalore-575017",Anwar H Chauhan,Poonacha P S,aslmang@allana.com,9945867554
45,Unique Wood Products,"K.C Road, Talapady,
Mangalore Taluk-575023",K Aysha,Abdul Rahiman,unikwud@gmail.com,9448011096
46,Stems N leaves International,"Plot No 162-C, KIADB, Industrial Area, Baikampady, Mangalore - 575011",Jude Jerald Goveas,Naveen Kumar, stemsnleaves@gmail.com,9880344678
47,Rodricks Industries,"Plot No 403 A & C, KIADB Area, Baikampady, Mangalore - 575011",Naveen Rodricks,Praveen Rodricks,rodrie@dataone.in,9844046463
48,Shri Ramanath Kripa Industries,"Door No. 3-89/1, 3-89/2, Kannur Village, 
Padil Post, Mangalore - 575007",Basti Narayana Shenoy,Basti Ghanashyam Shenoy,srkmills@gmail.com,9448484031
49,Kanachur Wood Industries,"University Road, Deralakatte, 
Mangalore - 575018",Zohara,Zohara,kanachur@gmail.com,9731556682
50,Jayalaxmi Cashew Industries,"Gantalkatte Kallabettu, 
Moodbidri - 574227",Deepthi Balakrishna,Deepthi Balakrishna,dhanalaxmi_cashew@yahoo.co.in,08258-236411
51,Canara Lighting Industries Private Ltd.,"Mulki - Kinnigoli Road, 
Punaroor - 574150",Ajeet Khare,Arun Kumar,naveen.p@canaralighting.com,9480696232
52,Rainbow  Industries,"156-C, Industrial Area, Baikampady, 
Mangalore - 575011   ",Punit Bharat,Bharath Dhirajlal,punitbanker@gmail.com,9343560318
53,"Solara Activa Pharma Sciences  Limited.,","Plot 120 A & B, 36,120P &121, Industrial Area, Baikampady, Mangalore - 575011",M Mohan,Surendrakumar Kamala Prasad Yadav,jyothi.pais@solara.co.in,7899866002
54,Mangalore Refinery & Petrochemicals Limited,"Kuthethoor, Via:Katipalla, 
Mangalore - 575030.",Nandakumar velayudhani pillai,N. Anand Kumar,FACTORYMANAGER@MARPL.CO.IN,9448379136
55,Konkan Speciality Poly Products Pvt. Ltd. Unit II,"Plot No 37, Industrial Area, Baikampady, 
Mangalore - 575011   ",Vinod Chandrashekhar Bondal,M Raghavendra Prabhu,info@konspec.com,9980554604
56,Sri Vijayalaxmi Cashew Industries,"Bantwal Road,
Moodbidri - 574227",S Ananthakrishna Rao,S Ananthakrishna Rao,raodurgaprasad06@gmail.com,9845295951
57,BASF India Limited,"Surathkal - Bajpe Road, Bala Via Katipalla, 
Mangalore - 575030",Anil kumar choudhary,Srinivas Pranesh,"nagaraja.shambhat@basf.com
srinivas.pranesh@basf.com",9820282704
58,"Oshima systems pvt. Ltd.,","430, 10th 'A' Main Road, Industrial Area, 
Baikampady, Mangalore - 575011  ",K Ramachandra Bhat,Nirmala Kunder,info@fusionmetals.com,9448123125
59,"Hindustan Petroleum Corporation Limited Mangalore POL Terminal,","Bala Village, 
Mangalore-575030 ",Boppe Venkata Suryalingam,Anisha thottempudi,gcraj@hpcl.in,9491045141/ 9902630955
60,Citibake Industries,"S.No.129/1B2, D.No.17-81/4, Kalpane, Kulshekar, 
Mangalore - 575005",Prakash R Prabhu,K Yogish Mallya,citybakeryindia@gmail.com,9844073777
61,Mahan Food Industries,"B-3, Industrial Estate, Yeyyadi, 
Mangalore - 571008",Rama Bhat N,Rama Bhat N,narans_yeyyadi@yahoo.com,0824-2224378/ 2214911
62,Maxworth Retreads,"Plot No.37 & 38, Industrial Area, Karnad,  
Mulki-574154",A J Anand Nelliat,Jackson Renold Salins,maxworthretreads@dataone.in,9740092136
63,Hindustan Petroleum Corporation Ltd.LPG Import Facility," Bala Village, 
Mangalore-575030 ",R Venu Madhav,Kujur satish,mlifmaint@gmail.com,9446346160
64,"Konkan Speciality Poly Products Pvt. Ltd. Unit -3,","C-53, Industrial Area, Baikampady, 
Mangalore - 575011 ",Vinod Chandrashekhar Bondal,M Raghavendra Prabhu,info@konspec.com,9980554604
65,Steel  Barrel  Pvt. Ltd,"116/1P, Bala Village, Near MRPL Cargo Gate, Katipalla,  Mangalore - 575030",Sanjiv Goenka,Yatin R Sherigar,bharatbarrrelmlr@gmail.com,9831098110
66,Universal Energy Foods," 53, Industrial Area, Karnad Industrial Area, 
Mulky - 574154",Ramamurthy,Ramamurthy,universalfood86@gmail.com,9845183269
67,Mangala Bleeching & Dying Industries," No.288 & 288-A, Industrial Area, Baikampady, 
Mangalore - 575011  ",B Deranna,B Deranna,mangalbleeching@gmail.com,9845226560
68,Sri Manjunath Foods & Packagings Pvt. Ltd.,"Plot No.33, Karnad Industrial Area, Mulky, 
Mangalore 574154",Chethan Shetty,Chethan Shetty,info@bislerimangalore.com,9886040206
69,Brahmas Engineering & Costruction Co.PVT Ltd.,"Plot No. 223,224, Industrial Area, Baikampady, Mangalore - 575011",M Seetharam,Athmika Amin,info@jvsprings.com,9900254189
70,Elite Engineering Industries,"Plot No 442 D, Road No.12, Industrial Area, Baikampady, Mangalore - 575011",N Koran,N Koran,ganesh.koran@gmail.com,7259132751/  9480347623
71,Nandi Food Products,"M-2, Industril Estate, Yeyyadi, 
Managalore - 575008",Prakash R Prabhu,Raghunatha Prabhu K,prabhupr@yahoo.com,9844073777
72,United Breweries  Limited,"Plot No 310, 311, 322(E), Industrial Area, Baikampady, Mangalore - 575011",Rishi Pardal,Sanilnath Nair,ublcorporate@ubmail.com,0824-2408366
73,Autopack Machines Pvt. Ltd.,"42/B, Industrial Area, Baikampady, 
Mangalore - 575011 ",K P Balachandran Nair,Shivashankar Bhat,ssbhat@autopackmachines.com,9820127362
74,Maroor`s  Aluminium & Interiors," Plot No 123A & B, Industrial Area, Baikampady, 
Mangalore - 575011.",M Sudhir Pai,Gopal,mai@maroor.in,9880188167
75,Afyun  plywood Industries,"154 B, Industrial Area, Baikampady, 
Mangalore - 575011    ",Afzal Yunus,Afzal Yunus,afyunplyunit2@gmail.com,8050305089
76,Gurudev Plastics Pvt. Ltd.,"Plot No 225,226 & 233, Industrial Area, Baikampady, Mangalore - 575011",B Mohan  Baliga,Suresh N M,gurudev1973@gmail.com,9844195336
77,Chiramith Precission (India),"D No.3-45, Opp: Kannur Post Office, Kannur, Mangalore - 575007",Amith Acharya,Amith Ramachandra,info@chiramithindia.com,9986661753
78,Baby Marine Sarass,"Plot No.7B, Industrial Area, Baikampady, 
Mangalore - 575011    ",George K Ninan,Oommen Samuel,bms@babymarinegroup.com,9379503602
79,Pacmac Engineering Pvt. Ltd.,"437-C, Industrial Area, Baikampady, 
Mangalore - 575011    ",SKC Rao,Y R Shrivathsa,paceng@dataone.in,9845496667
80,Total Energines Marketing India Pvt. Ltd.,"No.62,Baikampady Industrial Area,  Thokur Village, Jokatte Post, 
Mangalore  - 574173.",Ramaswamy Meenakshi Subramaniam,Sakthivel K.,sakthivel.kallannan@totalenergies.com,8105586493
81,T A Boards & Doors,"Thokur, Haleangadi, 
Mangalore-574146.",T A Ameer,Yogish,taboards@gmail.com,9845095166
82,Accurate Veeners & Wood Products,"Plot No: 305&323M(P), Industrial Area, Baikampady, Mangalore - 575011",K Abdul Khader,K Abdul Khader,accurate924@gmail.com,9343170835
83,Marine Food Packers,"55, Industrial Area, Baikampady, 
Mangalore - 575011    ",Raju J Vayalath,Ajimani,marinefoodpackers@gmail.com,9847019991
84,Agribase Commodities,"241-2,  Poopadikal, Badaga, Yedapadav, 
Shibrikere Post-574164, Mangalore",S Umesh Kamath,S Umesh Kamath,vittalroy@gmail.com,9900449510
85,"Bharat Petroleum Corporation Ltd.Mangalore Coastal Installation,"," Near APMC Yard, Baikampady,
Mangalore -575011.",Vipin Das Vanswal,Niraj agrawal,nirajagrawal@bharatpetroleum.in,9300205788
86,The Printers (Mysore) Pvt. Ltd.,"Plot No 399, Industrial Area, Baikampady, 
Mangalore - 575011    ",K N Tilak Kumar,Sudhir Tunga A,sudhirthunga@deccanherald.com,9845402958
87,Karnad Gases Pvt. Ltd.,"28/A, Karnad Industrial Area, Mulki, 
Mangalore -574154",K Uday Pai,K.Sudarshan,udayakulyadipai@yahoo.com karnadgases@yahoo.com,9341763377
88,Lakshmi Cryogenics Pvt. Ltd.,"Plot No 30, Industrial Area, Baikampady, 
Mangalore - 575011    ",M.J Shetty,M.J Shetty,lakshmicryo@gmail.com,7353655544
89,KIOCL Limited Blast Furnace Unit,"Panambur, 
Mangalore -575010 ",G.V. KIRAN,Muraleedharan D,bfupersonnel@kioclltd.in,9937290883
90,Hindustan Petroleum Corporation Ltd.,"LPG Bottling Plant, Village Bala, 
Mangalore-574149. ",Bhavyang B Shah,Neelakandan,mang.lpgpic@hpcl.in,8884711050
91,Cann Foods,"251, Industrial Area, Baikampady, 
Mangalore - 575011    ",P Rajaram Nayak,P Rajaram Nayak,cannfoods@gmail.com,9880340839
92,Sri Prema Sai Printers & Publishers,"C-26, Industrial Estate, Yeyyadi, 
Mangalore- 575008",K S Sumanth Pai,K S Sumanth Pai,premasaiprinters@gmail.com,9945177737
93,Cauvery Motors Pvt. Ltd.,"124-C-1, Industrial Area,  Baikampady, 
Mangalore - 575011    ",M P Shyam,Tilakraj Shetty,accountsmlrws@cauveryford.com,9686860448
94,Shagil Precession India,"D.No. 2-331/2, Deralakatte, 
Mangalore - 575018",Shailesh Kumar,B K Narayan,shagilindia@gmail.com,9845909904
95,"Eshwari Global Metal Industries Pvt. Ltd., Unit I","Plot No 101-A&B, Industrial Area, Baikampady, 
Mangalore - 575011    ",P Armugan,N Senthamarai Kannan,accounts@emimetals.com,9845082295
96,Kiniya Plyboards,"K.C. Road,  Thalapady, 
 Mangalore -575023",M Abdul Rahiman,Mohiyuddin Riyaz,unikwud@gmail.com,9448011096
97,Associated Company of Engineers,"Plot No. 159 -A, Industrial Area, Baikampady, Mangalore - 575011",V Ramakrishna Kamath,Devdas Kamath,sales.acemlr@gmail.com,9448145727
98,"Patanjali foods ltd.,","2(P), 3(P) & 4(P), KIADB Industrial Area, Baikampady, Mangalore - 575011",Shri Ram Bharath,Manoj Srivastava,narottam_shukla@ruchisoya.com,7028011034
99,Starflex Laminators Pvt. Ltd.,"Plot No B-155, Industrial Area, Baikampady, 
Mangalore - 575011    ",Vitesh V kotian,Vitesh V kotian,starflex@rediffmail.com,9880919841
100,AWL Agri Business Limited,"S.No.5,6, 7 & 11, Indusrtrial  Area,  Baikampady, Mangalore - 575011",Ravindra Kumar Singh,Surendra kumar shukla,HR.MANGALORE@ADANIWILMAR.IN,9424961041
101,Tiki Tar Industries ( Baroda) Limited,"Plot No 39/B, Karnad Industrial Area, 
Mulki - 574154 ",Hirendra K Mota,Sadashiva S Acharya,mangalore@tikitar.com,9379731797
102,Plama Plastics Ltd.,"171 C, Indusrtrial  Area,  Baikampady, 
Mangalore - 575011 ",Suresh B Karkera,P H Ameer Ahmad,plamaplastics@rediffmail.com,9740097000
103,Sarasija Foods,"Plot  No.3, Industrial Estate, Yeyyadi, 
Mangalore - 571008 ",Saraswathi Ram,Saraswathi Ram,narans_yeyyadi@yahoo.com,0824-2224378/   0824-2214911
104,S S T Foods Products," 9C, Industrial Area, Baikampady, 
Mangalore - 575011 ",Taranath,Taranath,sst.samboy@gmail.com,9845149112
105,M A Board Products (P) Ltd.,"192-C, Industrial Area, Baikampady, 
Mangalore - 575011",Prashanth M A,Sajin K,maboard65@gmail.com,9845436365
106,Akolite Synthetic Resins,"Plot No 192-C, Industrial Area, Baikampady, 
Mangalore - 575011    ",Abdul Razak,Mohammed Rafiq,info@akolite.in,9448377565
107,Rajalaxmi Cashew Industries,"Malali Cross Road, Ganjimutt-574144, 
Mangalore D.K ",S Umesh,S Umesh,umesh08@gmail.com,9731120555
108,Sri Vignesh Industries,"234-1, Ashwathapura P.O.,
Tenka Mizar Village, Mangalore-574227",K Jaya Kamath,K Jaya Kamath,kvs_kamath@yahoo.com,9663135531
109,Bitutech Industries,"No.88, Industrial Area, Baikampady ,
Mangalore - 575011",O P George,D Rajeev,bitutechindustries@gmail.com,9845027807
110,Bolas Agro Pvt Ltd,"158 A&B, Industrial Area, Baikampady, 
Mangalore - 575011",Gowri Shanker,Nithin M Suvarna,mail@bolas.co.in,9449868005
111,Spectrum Industries,"Plot No 143H, Industrial Area, Baikampady, Mangalore - 575011",Jeevan Saldhana,Rajesh Poojary,sales@spectrumindustries.org,0824-2214395
112,Spectrum Industries,"C-14, 15 & 16, Industrial Estate,
Yeyyadi, Mangalore - 571008",Jeevan Saldhana,Raghavendra Prasad,sales@spectrumindustries.org,0824-2214395
113,Sri Shanthadurga Cashew Processors,"Kallamundkur Village, 
P.O.Banangady - 574272",Akashatha Kamath,Nagaraj V Kamath,srishanthadurga@rediffmail.com,9902833395
114,Petronet MHB Limited,"Mangalore Dispatch Station, 
C/o HPCL POL Terminal Bala Village, Katipalla, Mangalore - 574149",Chandramouleshwaran Ramakrishnan,Mahesh Hegde,rajan@petronetmhbl.com,9769497249
115,Esteem Engineering Company,"Plot No 301, Industrial Area, Baikampady, 
Mangalore - 575011    ",P Diwakar Shetty,P Diwakar Shetty,esteemenggcompany@gmail.com,9986282661
116,Vikram Print 'N' Pack,"160/B, Industrial Area, Baikampady, 
Mangalore - 575011    ",Vikram S Kamath,Vikram S Kamath,canprints@gmail.com,9449006468/  944847648
117,Plant-Tech Industrial Services Ltd.,"245, Baikampady Industrial Area, 
Mangalore - 575011   ",Godwin Dsouza,Ajith Sequeira,hrd@plant-techgroup.com,9880821212
118,"FR. Muller  Charitable Institutions Homeopathic Pharmacutical Division,","Paneer Church Road, Kotekar Village, Deralakatte Post, Mangalore-575018",Rev Fr Richard Aloysius Cohelo,Rev Fr Roshan Crasta,muller@fathermuller.in,9482459661
119,Bell Paints,"Plot No 243, Industrial Area, Baikampady, 
Mangalore - 575011    ",Latha R Kini,Latha R Kini,bellpaints1@gmail.com,9945270926
120,Sunshine Industrial Corporation,"C-149, Industrial Area, Baikampady, 
Mangalore - 575011    ",Radhakrishna Khandige,Radhakrishna Khandige,rhandige@hotmail.com,9885742564
121,Kalikamba Body Works,"D.No.3-97/1,  Opp: Church, Vamanjoor, 
Mangalore-575028",Keshava Achar,Keshava Achar,kalikambabodyworks@gmail.com,9886301401/ 7353912024
122,Codeword Process & Printers,"C-18, Industrial Estate, Yeyyadi, 
Mangalore - 575008",S Vijaya N Nayak,S Vijaya N Nayak,codeword.process@gmail.com,9900100818
123,Tuff Koats,"M-3, Industrial Estate, Yeyyadi, 
Mangalore - 575008",Suraj Ephraim,Suraj Ephraim,tuffcoats@gmail.com,9343561065
124,Indo Fisheries,"D.No.4-153 D, Rajiv Gandhi Nagar, Harekala, Mangalore-574181",H S Nameer,Yasir Arafath,indofisheries@gmail.com,9243337001
125,Sri Ganesh Bitumen Products,"86, 40 Wide Road, KIADB Area, Baikampady, Mangalore - 575011",K Prakash Shenoy,K Prakash Shenoy,prakashshenoy1959@gmail.com,9972027076
126,Laboratories Daffodil Pvt. Ltd.,"34/48A, Baikampady Industrial Area, 
Mangalore - 575011    ",Sanjay Damodhar Shanbhag,Seema Sanjay Shanbhag,labdaffodil@yahoo.com,9448369660
127,Abbas Designer Doors,"2-156,Abbas Mill Compound,Alangar, 
Moodbidri-574227 ",Munavara M Ali,Munavara M Ali,abbasdesignerdoors@gmail.com,9986099124
128,Alva Pharmacy,"Yogaraja Arogyadhama, P.O.Mijar, Moodbidri, Mangalore-574225",M Mohan Alva,C R Achar,alvaspharmacy@gmail.com,9901327975
129,Primacy Industries Private Limited,"Plot No 7A, Industrial Area, Baikampady, 
Mangalore - 575011 ",K Umesh Kini,Umesh M T,info@primacyind.com,9900157477
130,AWL Agri Business Limited,"Plot No 188A & B, Baikampady Industrial Area, 
Mangalore - 575011    ",Ravindra Kumar singh,Manoj Srivastava,HR.MANGALORE@ADANIWILMAR.IN,8884413500
131,Prism Johnson Limited,"38A, Baikampady Industrial Area, 
Mangalore - 575011    ",Vijay Agarwal,Sumeet Bodhankar,sanjeev.cl@rmcindia.com,9632685131
132,Hindustan Colas Private Limited,"Adjacent to HPCL POL Terminal, Village Bala, 
Via Katipala , Mangalore-575030. ",K Radhakrishnan,Prashanth K A,prashant@hincol.com,9902721824
133,Shri Balaji Enterprises,"Balaji Industrial Estate, Jyothi Nagar,
Moodbidri 574227",K Vishwanath Prabhu,K Vishwanath Prabhu,balajimoodbidri@rediffmail.com,9448447777
134,Shri Balaji Refineries,"R.s.No.175/4B, Pranthya Village, 
Jyothi Nagar, Moodbidri 574227",K Vishwanath Prabhu,K Vishwanath Prabhu,balajimoodbidri@rediffmail.com,9448447777
135,Shri Balaji Driers,"Balaji Industrial Estate, Jyothi Nagar,
Moodbidri 574227",K Rajashree V Prabhu,K Rajashree V Prabhu,balajimoodbidri@rediffmail.com,9448227777
136,Ashirvad Agro Processors,"Birav Village, 
Moodbidri -574197",K Shridhar Nayak,K Shridhar Nayak,ashirvadcashews@gmail.com,9845720951/ 9845703060
137,Prashanth Industries,"C-5,  Industrial Estate,
Yeyyadi, Mangalore-575008   ",Praveen Nayak,Praveen Nayak,prashanthdevelopers@yahoo.com,9880460106
138,The Campco Limited,"APMC Yard, Industrial Area, Baikampady, 
Mangalore - 575011     ",H.M. Krishna kumar,Srinivas P V,baikampady.campco@gamil.com,9845740241
139,Karavali Switch Gears,"C-42, Industrial Estate, Baikampady, 
Mangalore - 575011 ",Sandeep Bhandary,Sandeep Bhandary,slnayak09@gmail.com,9845465652
140,Servel Engineers,"C7/C8, Industrial Estate, Yeyyadi, 
Mangalore-575008 ",Nandan M Sherlekar,Nandan M Sherlekar,sevel@bsnl.in,9243301133
141,"C R3 (India) Pvt. Ltd.,","156/A, Industrial Area, Baikampady, 
Mangalore - 575011    ",Gunavel Ratina Ratinam,Rajesh Kumar,rvkumar@cr3.group,7259252795
142,Arvind Motors Pvt. Ltd.,"152-A, Industrial Area, Baikampady, 
Mangalore - 575011    ",A Kishore Rao,Raghavendra P A,raghu@arvindmotors.com,9845563777
143,Medhini Cashew Exports,"Nadigudde, Belvai-574213, 
Moodbidri",Muralidhar S,Muralidhar S,srimedhinicashew@gmail.com,9448445733
144,Mangalore Rubbers Pvt. Ltd.,"Narlapadavu, Kaikamba, Ganjimatt, Malali Cross, Mangalore.-574144",Karunakar J Shetty,Karunakar J Shetty,mangalorerubber@gmail.com,9480433099
145,Bharath Auto Cars Pvt. Limited,"No.17,NH-66, Near Kuntikan Junction, 
Mangalore-575004 ",Sudhir M Pai,Vishwa Kumar N,info@bharathauto.co.in,9886649130
146,PSN Automotive Marketing  Pvt. Ltd.,"NH-48, Near Somanatha Katte, Adyar, 
Mangalore-575009",Kaushik A Narayana,Gururaj M,hrd.amplmang@gmail.com,9686695657
147,Sharan Cashew Industries,"V G Mallya Compound, Alangar, 
Moodbidri D.K.-574227",K Aravind Shenoy,K Aravind Shenoy,sharancashewindustries@gmail.com,9845761576
148,Mondovi Motors Pvt. Ltd,"Kana Road, Suratkal,
Managalore 574158",A Sanjay Rao,Jagannath S Suvarna,wmskl@mandovi.net,9686804500
149,SKF Boilers & Driers Private Ltd.,"D No.3-169-12, Bannadka, Post Belvai, 
Mangalore-574213 ",Pramod Kumar,Madhusoodanan V Pappini,hrdskfboilers@gmail.com,7899919575
150,B R Boards,"Door No.340/2, Bangera Padavu, Niddodi-574227, Mangalore Taluk",Balaram Prabhu,Balaram Prabhu,blrmprbhu@gmail.com,9901133077
151,Mangalore Paper Mills (P) Ltd.,"S No 155/1A, Kaikamba, K.C.Road,  Kinya Post, Mangalore-574156",Ram Mohan Hegde,Ram Mohan Hegde,mangalorepapermills@yahoo.in,"9448773655, 9448355193"
152,Sanson Chemical Industries,"Plot No.41-A, Karnad Industrial Area, Mulki, Managalore-574154",Vivin X Kondody,Duming J Fernandis,sales@kondodys.com,9880033644
153,Padma Priya Industries,"Near Post Office, Shirtady, 
Via: Moodbidri-574236.",Jinendra Kumar,Jinendra Kumar,vijaykumarhegdek@gmail.com,9880312899/ 9448931133
154,Deccan Packaging India (P) Ltd.,"6B, Industrial Area, Baikampady, 
Mangalore - 575011    ",B H Asgar Ali,Ashraf Mohammed,deccanpackaging@yahoo.com,9972435101
